SurveyYear,OutputFileName,Section,Question,Type,RecodeFlag,VariableName,Instrument Out Variable Name,FinalDocName,FinalItemText,FinalDocUniverse,FinalDocUniverseDescription,DocSources,DocRecodes,DocKeywords,DocNotes,Qbank,FinalVariableDescription,ResponseCode,ResponseText,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,99,Don't know,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,M,Metric,,,,,
2017,Sample Child,CHS,CHS.020_02.000,, ,CHGHTIN,CHGT_IN,CHGHTIN,How tall is {S.C name} now (without shoes)?,"CSTATFLG = '1' and (AGE GE '012' and AGE NE ' ') and (('0' <= CHGHTFT <= '7') or (CHGHTFT = ' ') or CHGHTFT in ('97','99') )",Sample children GE 12 years whose height in feet is 0-7 or is left empty.,None,None,None,"Not on public use file.  Prior to 2008, this question was asked for all sample children.  Beginning in 2008, only sample children 12+ years of age were included.",,Current height in inches,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,00-36,0-36 inches,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,97,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,98,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,99,Don't know,,,,,
2017,Sample Child,CHS,CHS.020_02.000,R01,RECODE,,,CHEIGHTN,How tall is - - now?,"CSTATFLG = '1' and (AGE GE '012' and AGE NE ' ') and (('0' <= CHGHTFT <= '7') or (CHGHTFT = ' ') or CHGHTFT in ('97','99') )",Sample children 12+,CHGHTF; CHGHTI,None,height,"Not on public use file.  Prior to 2008, this question was asked for all sample children.  Beginning in 2008, only sample children 12+ years of age were included.",,Total current height in inches,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,12-95,12-95 inches,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,97,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,98,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,99,Don't know,,,,,
2017,Sample Child,CHS,CHS.020_02.000,,RECODE,,,CHGHT_TC,How tall is {S.C name} now (without shoes)?,CSTATFLG = '1' and AGE=12-17,Sample children 12-17 years,CHEIGHTN,None,Height,"Top and bottom coded variable for Public Use file.  In cases where extremely high or extremely low values were reported for either current height (gender-specific height for age) or current weight (gender-specific weight for age), the data for both variab",,Total current height in inches (truncated),,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,0-95,0-95 inches,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,96,Not available,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,97,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,98,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,99,Unknown,,,,,
2017,Sample Child,CHS,CHS.022_00.000,, ,CWGHTP_P,CWGT_LB,CWGHTP_P,How much does {S.C. name} weigh now (without shoes)?,CSTATFLG = '1' and (AGE GE '012' and AGE NE ' '),Sample children GE 12 years,None,None,None,"Not on public use file.  Prior to 2008, this question was asked for all sample children.  Beginning in 2008, only sample children 12+ years of age were included.",,Current weight in pounds (without shoes),,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,001-500,1-500 pounds,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,997,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,998,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,999,Don't know,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,M,Metric,,,,,
2017,Sample Child,CHS,CHS.022_02.000,,RECODE,,,CWGHT_TC,How much does {S.C name} weigh now (without shoes)?,CSTATFLG = '1' and AGE=12-17,Sample children 12-17 years,CWGHTP_P,None,Weight,"Top and bottom coded variable for Public Use file.  In cases where extremely high or extremely low values were reported for either current height (gender-specific height for age) or current weight (gender-specific weight for age), the data for both variab",,Current weight in pounds (truncated),,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,000-500,0-500 pounds,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,996,Not available,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,997,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,998,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,999,Unknown,,,,,
2017,Sample Child,CHS,CHS.024_05.000,,RECODE,,,BMI_SC,,CSTATFLG = 1 and AGE = 12-17,Sample children aged 12-17 years,CHEIGHTN; CWGHTP_K,None,BMI; body mass index; overweight; obesity; underweight,"(1) BMI was calculated using the inhouse versions of the height and weight variables, which contain a greater range of height and weight values than are available on the public-use file.  The range of possible BMI values listed (0001-9994) does not reflec",,Body Mass Index (BMI),,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,0001-9994,00.01-99.94,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9995,99.95+,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9999,Unknown,,,,,
2017,Sample Child,CHS,CHS.031_02.000,, ,AMR1R,ADD1_2,AMR1R,Has a doctor or health professional ever told you that {S.C. name} had ... An intellectual disability also known as mental retardation?,CSTATFLG = '1' and (AGE LE '001' and AGE NE ' '),Sample children LE 1 year,None,None,mental retardation; developmental delay,In 2011 the terminology for mental retardation has been updated to intellectual disability.,,Ever told SC had an intellectual disability also known as mental retardation,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Yes,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,No,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.031_03.000,, ,AODD1,ADD1_3,AODD1,Has a doctor or health professional ever told you that {S.C. name} had ... Any other developmental delay?,CSTATFLG = '1' and (AGE LE '001' and AGE NE ' '),Sample children LE 1 year,None,None,developmental delay,None,,Ever told SC had other developmental delay,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Yes,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,No,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.031_04.010,,,AMR1RN,ADD1_2N,AMR1RN,"Does [fill: S.C. name] currently have an intellectual disability, also known as mental retardation?",CSTATFLG = '1' and (AGE LE '001' and AGE NE ' ') and AMR1R='1',Sample children LE 1 year who have ever had intellectual disability/mental retardation,None,None,None,None,,SC currently has intellectual disability also known as mental retardation,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Yes,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,No,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.031_05.010,,,AODD1N,ADD1_3N,AODD1N,Does [fill: S.C. name] currently have any other developmental delay?,CSTATFLG = '1' and (AGE LE '001' and AGE NE ' ') and AODD1='1',Sample children LE 1 year who have ever had any other developmental delay,None,None,None,None,,SC currently has other developmental delay,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Yes,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,No,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.032_01.000,, ,ADD2,ADD_1,ADD2,Has a doctor or health professional ever told you that {S.C. name} had ... Attention Deficit Hyperactivity Disorder (ADHD) or Attention Deficit Disorder (ADD)?,CSTATFLG = '1' and ('002' <= AGE<= '017'),Sample children 2-17 years,None,None,attention deficit hyperactivity disorder; attention deficit disorder; ADHD; ADD; hyperactivity,None,,Ever told SC had ADHD/ADD,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Yes,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,No,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.032_02.000,, ,AMR2R,ADD_2,AMR2R,Has a doctor or health professional ever told you that {S.C. name} had ... An intellectual disability also known as mental retardation?,CSTATFLG = '1' and ('002' <= AGE<= '017'),Sample children 2-17 years,None,None,mental retardation; developmental delay,In 2011 the terminology for mental retardation has been updated to intellectual disability.,,Ever told SC had an intellectual disability also known as mental retardation,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Yes,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,No,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.032_02.010,,,AUTISM,AUTISM,AUTISM,"* Read if necessary.

Has a doctor or health professional ever told you that [fill: S.C. name] had...

Autism, Asperger?s disorder, pervasive developmental disorder, or autism spectrum disorder?",CSTATFLG = '1'and ('002' <= AGE<= '017'),Sample children 2-17 years,None,None,autism; autism spectrum disorder; pervasive developmental disorder (PDD),New question in 2014. Previously data about autism/autism spectrum disorder were found in CCONDL06.,,"Ever told SC had autism, Asperger's, PDD or autism spectrum disorder",,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Yes,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,No,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.032_03.000,, ,AODD2,ADD_3,AODD2,Has a doctor or health professional ever told you that {S.C. name} had ... Any other developmental delay?,CSTATFLG = '1' and ('002' <= AGE<= '017'),Sample children 2-17 years,None,None,developmental delay,None,,Ever told SC had other developmental delay,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Yes,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,No,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.032_04.010,,,ADD2N,ADD_1N,ADD2N,Does {S.C. name] currently have Attention Deficit Hyperactivity Disorder (ADHD) or Attention Deficit Disorder (ADD)?,CSTATFLG = '1' and ('002' <= AGE<= '017') and ADD2='1',Sample children 2-17 years who have ever had ADHD/ADD,None,None,attention deficit hyperactivity disorder; attention deficit disorder; ADHD; ADD; hyperactivity,None,,SC currently has ADHD/ADD,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Yes,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,No,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.032_05.010,,,AMR2RN,ADD_2N,AMR2RN,"Does [fill: S.C. name] currently have an Intellectual disability, also known as mental retardation?",CSTATFLG = '1' and ('002' <= AGE<= '017') and AMR2R='1',Sample children 2-17 years who have ever had intellectual disability/mental retardation,None,None,mental retardation; developmental delay,In 2011 the terminology for mental retardation has been updated to intellectual disability.,,SC currently has intellectual disability also known as mental retardation,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Yes,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,No,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.032_06.010,,,AUTISMN,AUTISMN,AUTISMN,"Does [fill: S.C. name] currently have Autism, Asperger?s disorder, pervasive developmental disorder, or autism spectrum disorder?",CSTATFLG = '1' and ('002' <= AGE<= '017') and AUTISM='1',Sample children 2-17 years who have ever had autism,None,None,autism; autism spectrum disorder; pervasive developmental disorder (PDD),None,,"SC currently has autism, Asperger's, PDD or autism spectrum disorder",,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Yes,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,No,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.032_07.010,,,AODD2N,ADD_3N,AODD2N,Does [fill: S.C. name] currently have any other developmental delay?,CSTATFLG = '1' and ('002' <= AGE<= '017') and AODD2='1',Sample children 2-17 years who have ever had any other developmental delay,None,None,None,None,,SC currently has other developmental delay,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Yes,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,No,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.061_01.000,, ,CCONDRR1,CONDL11-CONDL19,CCONDRR1,"Looking at this list, has a doctor or other health professional ever told you that {SC name} had any of these conditions?
Which ones?",CSTATFLG = '1' and (AGE LE '017' and AGE NE ' '),Sample children LE 17 years,None,None,Down syndrome; mental retardation,See survey questionnaire for original question format.  Question format modified in 2008.,,Ever told SC had Down syndrome,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Mentioned,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,Not mentioned,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.061_02.000,, ,CCONDRR2,CONDL11-CONDL19,CCONDRR2,"Looking at this list, has a doctor or other health professional ever told you that {SC name} had any of these conditions?
Which ones?",CSTATFLG = '1' and (AGE LE '017' and AGE NE ' '),Sample children LE 17 years,None,None,cerebral palsy; developmental delay,"Beginning in 2004 there has been a 10-fold increase in the number of sample children who were reported to have cerebral palsy in CHS.060_02.000, CONDL2.  In 2003 there were 34 cases reported; in each year from 2004-2006 there were 311-353 cases reported. ",,Ever told SC had cerebral palsy,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Mentioned,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,Not mentioned,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.061_03.000,, ,CCONDRR3,CONDL11-CONDL19,CCONDRR3,"Looking at this list, has a doctor or other health professional ever told you that {SC name} had any of these conditions?
Which ones?",CSTATFLG = '1' and (AGE LE '017' and AGE NE ' '),Sample children LE 17 years,None,None,muscular dystrophy,See survey questionnaire for original question format.  Question format modified in 2008.,,Ever told SC had muscular dystrophy,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Mentioned,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,Not mentioned,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.061_04.000,, ,CCONDRR4,CONDL11-CONDL19,CCONDRR4,"Looking at this list, has a doctor or other health professional ever told you that {SC name} had any of these conditions?
Which ones?",CSTATFLG = '1' and (AGE LE '017' and AGE NE ' '),Sample children LE 17 years,None,None,cystic fibrosis,See survey questionnaire for original question format.  Question format modified in 2008.,,Ever told SC had cystic fibrosis,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Mentioned,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,Not mentioned,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.061_05.000,, ,CCONDRR5,CONDL11-CONDL19,CCONDRR5,"Looking at this list, has a doctor or other health professional ever told you that {SC name} had any of these conditions?
Which ones?",CSTATFLG = '1' and (AGE LE '017' and AGE NE ' '),Sample children LE 17 years,None,None,sickle cell anemia,"See survey questionnaire for original question format.  Question format modified in 2008. In 2014 CCONDL06 (autism/autism spectrum disorder) was dropped from this question. A new question, AUTISM (CHS.032_02.010), was added to the survey.",,Ever told SC had sickle cell anemia,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Mentioned,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,Not mentioned,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.061_06.000,, ,CCONDRR6,CONDL11-CONDL19,CCONDRR6,"Looking at this list, has a doctor or other health professional ever told you that {SC name} had any of these conditions?
Which ones?",CSTATFLG = '1' and (AGE LE '017' and AGE NE ' '),Sample children LE 17 years,None,None,chronic conditions; diabetes; sugar,See survey questionnaire for original question format.  Question format modified in 2008.,,Ever told SC had diabetes,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Mentioned,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,Not mentioned,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.061_07.000,, ,CCONDRR7,CONDL11-CONDL19,CCONDRR7,"Looking at this list, has a doctor or other health professional ever told you that {SC name} had any of these conditions?
Which ones?",CSTATFLG = '1' and (AGE LE '017' and AGE NE ' '),Sample children LE 17 years,None,None,chronic conditions; arthritis,See survey questionnaire for original question format.  Question format modified in 2008.,,Ever told SC had arthritis,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Mentioned,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,Not mentioned,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.061_08.000,, ,CCONDRR8,CONDL11-CONDL19,CCONDRR8,"Looking at this list, has a doctor or other health professional ever told you that {SC name} had any of these conditions?
Which ones?",CSTATFLG = '1' and (AGE LE '017' and AGE NE ' '),Sample children LE 17 years,None,None,chronic conditions; congenital heart disease,See survey questionnaire for original question format.  Question format modified in 2008.,,Ever told SC had congenital heart disease,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Mentioned,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,Not mentioned,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.061_09.000,, ,CCONDRR9,CONDL11-CONDL19,CCONDRR9,"Looking at this list, has a doctor or other health professional ever told you that {SC name} had any of these conditions?
Which ones?",CSTATFLG = '1' and (AGE LE '017' and AGE NE ' '),Sample children LE 17 years,None,None,chronic conditions; other heart condition,See survey questionnaire for original question format.  Question format modified in 2008.,,Ever told SC had other heart condition,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Mentioned,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,Not mentioned,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.070_00.000,, ,CPOX,CPOX,CPOX,Has {SC Name} EVER had chickenpox?,CSTATFLG = '1' and (AGE LE '017' and AGE NE ' '),Sample children LE 17 years,None,None,chicken pox; acute condition,None,,Ever had chickenpox,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Yes,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,No,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.072_00.000,, ,CPOX12MO,CPOX12MO,CPOX12MO,Has {SC name} had chickenpox DURING THE PAST 12 MONTHS?,CSTATFLG = '1' and (AGE LE '017' and AGE NE ' ') and CPOX = '1',Sample children LE 17 years who have had chickenpox,None,None,chicken pox; acute condition; varicella,None,,"Chickenpox, past 12 m",,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Yes,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,No,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.080_00.000,, ,CASHMEV,CASHMEV,CASHMEV,Has a doctor or other health professional EVER told you that {SC name} had asthma?,CSTATFLG = '1' and (AGE LE '017' and AGE NE ' '),Sample children LE 17 years,None,None,asthma; respiratory condition,None,,Ever been told SC had asthma,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Yes,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,No,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.085_00.000,, ,CASSTILL,CASSTILL,CASSTILL,Does {SC name} still have asthma?,CSTATFLG = '1' and (AGE LE '017' and AGE NE ' ') and CASHMEV = '1',Sample children LE 17 years who were ever told they had asthma,None,None,asthma; respiratory condition,None,,Still have asthma,,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Yes,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,No,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.090_00.000,, ,CASHYR,CASHYR,CASHYR,"DURING THE PAST 12 MONTHS, has {SC name} had an episode of asthma or an asthma attack?",CSTATFLG = '1' and (AGE LE '017' and AGE NE ' ') and CASHMEV = '1',Sample children LE 17 years who were ever told they had asthma,None,None,asthma episode; asthma attack; asthma; respiratory condition,None,,"Had an asthma episode/attack, past 12 m",,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Yes,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,No,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.100_00.000,, ,CASERYR1,CASMERYR,CASERYR1,"DURING THE PAST 12 MONTHS, did {SC name} have to visit an emergency room or urgent care center because of {his/her} asthma?",CSTATFLG = '1' and (AGE LE '017' and AGE NE ' ') and CASHMEV='1,Sample children LE 17 years who were ever told they had asthma,None,None,chronic condition; asthma; respiratory condition,"Change in skip pattern in 2010.  Previously, this question was asked only for children who had an asthma attack in past 12 m.",,"Had visit to ER due to asthma, past 12 m",,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Yes,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,No,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.111_01.000,, ,HAYF1,CCONDT1_1,HAYF1,"DURING THE PAST 12 MONTHS, has {SC name} had any of the following conditions?Hay fever?",CSTATFLG = '1' and AGE LE '002',Sample children LE 2 years,None,None,hayfever; allergy; chronic condition,See survey questionnaire for original question format,,"Had hay fever, past 12 m",,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Yes,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,No,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,8,Not ascertained,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,9,Don't know,,,,,
2017,Sample Child,CHS,CHS.111_02.000,, ,RALLG1,CCONDT1_2,RALLG1,"DURING THE PAST 12 MONTHS, has {SC name} had any of the following conditions?Any kind of respiratory allergy?",CSTATFLG = '1' and AGE LE '002',Sample children LE 2 years,None,None,respiratory allergy; allergy,See survey questionnaire for original question format,,"Had respiratory allergy, past 12 m",,,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,1,Yes,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,2,No,,,,,
2017,Sample Child,CHS,,,,,,,,,,,,,,,,7,Refused,,,,,
